tournament_id,player_id,Finish,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
401353236,7001,T23,0.22,0.46,0.29,0.51,1.26,1.48
401353236,5548,T26,0.28,0.3,0.93,-0.28,0.95,1.23
401353236,3454,T26,1.22,0.02,0.18,-0.18,0.01,1.23
401353236,4425906,T26,0.62,-0.3,-0.53,1.44,0.6,1.23
401353236,4513,T26,-0.36,-0.06,0.71,0.94,1.59,1.23
401353236,4449,T26,-0.01,0.34,1.16,-0.27,1.24,1.23
401353236,7081,T26,-0.85,1.08,-0.26,1.26,2.08,1.23
401353236,9513,T26,0.45,0.52,0.4,-0.14,0.78,1.23
401353236,6798,T3,1.5,-0.32,0.55,1.24,1.48,2.98
401353236,10980,T3,1.33,0.51,0.94,0.2,1.65,2.98
401353236,10140,T3,-0.31,1.01,1.04,1.24,3.29,2.98
401353236,5532,T33,0.92,-0.57,0.8,-0.18,0.06,0.98
401353236,5409,T33,0.38,1.4,-0.15,-0.66,0.6,0.98
401353236,4483,T33,-0.11,-0.32,1.17,0.23,1.09,0.98
401353236,377,T33,1.21,-0.73,0.64,-0.14,-0.23,0.98
401353236,388,T38,0.43,0.27,0.14,-0.36,0.05,0.48
401353236,9126,T38,0.66,-0.29,-0.56,0.67,-0.19,0.48
401353236,2552,T38,1.59,-0.15,0.14,-1.11,-1.11,0.48
401353236,7083,T38,0.17,0.43,-1.29,1.16,0.3,0.48
401353236,3970,T38,-0.31,-0.52,0.6,0.7,0.78,0.48
401353236,9261,T43,-0.2,-0.74,-0.21,1.37,0.42,0.23
401353236,1483,T43,1.17,0.04,-0.43,-0.56,-0.94,0.23
401353236,3857,T43,-0.11,-0.1,1.03,-0.59,0.34,0.23
401353236,6151,T43,0.87,0.77,-0.85,-0.56,-0.64,0.23
401353236,78,T43,0.87,-0.14,-0.23,-0.27,-0.64,0.23
401353236,686,T43,1.08,0.47,-0.18,-1.14,-0.85,0.23
401353236,4383,T49,0.61,0.44,-0.82,-0.26,-0.64,-0.02
401353236,11456,T49,-1.01,-0.54,1.56,-0.04,0.99,-0.02
